,Payout,Portfolio_Value,Win,Loss,Surrender,Blackjack,Push
398,50.0,1475.0,0,0,1,0,0
398,50.0,1525.0,0,0,1,0,0
398,50.0,1575.0,0,0,1,0,0
399,0.0,1575.0,0,0,0,0,1
400,50.0,1625.0,0,0,1,0,0
401,-25.0,1600.0,0,0,1,0,0
402,50.0,1650.0,0,0,1,0,0
403,-50.0,1600.0,0,1,0,0,0
404,-50.0,1550.0,0,1,0,0,0
405,50.0,1600.0,0,0,1,0,0
406,50.0,1650.0,0,0,1,0,0
407,-50.0,1600.0,0,1,0,0,0
408,-50.0,1550.0,0,1,0,0,0
409,50.0,1600.0,0,0,1,0,0
410,50.0,1650.0,0,0,1,0,0
410,50.0,1700.0,0,0,1,0,0
410,50.0,1750.0,0,0,1,0,0
411,-50.0,1700.0,0,1,0,0,0
411,-50.0,1650.0,0,1,0,0,0
411,50.0,1700.0,0,0,1,0,0
412,50.0,1750.0,0,0,1,0,0
413,-50.0,1700.0,0,0,1,0,0
414,0.0,1700.0,0,0,0,0,1
415,50.0,1750.0,0,0,1,0,0
416,75.0,1825.0,1,0,0,1,0
417,-50.0,1775.0,0,1,0,0,0
418,-50.0,1725.0,0,1,0,0,0
419,-25.0,1700.0,0,0,1,0,0
420,-50.0,1650.0,0,1,0,0,0
421,-50.0,1600.0,0,1,0,0,0
422,0.0,1600.0,0,0,0,0,1
423,-50.0,1550.0,0,1,0,0,0
424,50.0,1600.0,0,0,1,0,0
425,50.0,1650.0,0,0,1,0,0
426,50.0,1700.0,0,0,1,0,0
427,50.0,1750.0,0,0,1,0,0
428,50.0,1800.0,0,0,1,0,0
428,50.0,1850.0,0,0,1,0,0
428,50.0,1900.0,0,0,1,0,0
428,50.0,1950.0,0,0,1,0,0
428,50.0,2000.0,0,0,1,0,0
429,0.0,2000.0,0,0,0,0,1
430,0.0,2000.0,0,0,0,0,1
431,-25.0,1975.0,0,0,1,0,0
432,50.0,2025.0,0,0,1,0,0
433,-25.0,2000.0,0,0,1,0,0
434,-50.0,1950.0,0,0,1,0,0
435,-25.0,1925.0,0,0,1,0,0
436,50.0,1975.0,0,0,1,0,0
437,50.0,2025.0,0,0,1,0,0
438,50.0,2075.0,0,0,1,0,0
439,50.0,2125.0,0,0,1,0,0
440,0.0,2125.0,0,0,0,0,1
441,50.0,2175.0,0,0,1,0,0
442,50.0,2225.0,0,0,1,0,0
443,50.0,2275.0,0,0,1,0,0
444,-50.0,2225.0,0,0,1,0,0
445,50.0,2275.0,0,0,1,0,0
446,-25.0,2250.0,0,0,1,0,0
447,50.0,2300.0,0,0,1,0,0
448,0.0,2300.0,0,0,0,0,1
449,-25.0,2275.0,0,0,1,0,0
450,0.0,2275.0,0,0,0,0,1
451,-25.0,2250.0,0,0,1,0,0
452,-50.0,2200.0,0,1,0,0,0
453,-50.0,2150.0,0,1,0,0,0
454,50.0,2200.0,0,0,1,0,0
455,-50.0,2150.0,0,1,0,0,0
456,75.0,2225.0,1,0,0,1,0
457,50.0,2275.0,0,0,1,0,0
458,0.0,2275.0,0,0,0,0,1
459,50.0,2325.0,0,0,1,0,0
460,0.0,2325.0,0,0,0,0,1
461,50.0,2375.0,0,0,1,0,0
462,50.0,2425.0,0,0,1,0,0
463,75.0,2500.0,1,0,0,1,0
464,-50.0,2450.0,0,0,1,0,0
465,-50.0,2400.0,0,1,0,0,0
466,0.0,2400.0,0,0,0,0,1
467,50.0,2450.0,0,0,1,0,0
468,50.0,2500.0,0,0,1,0,0
469,-50.0,2450.0,0,1,0,0,0
470,50.0,2500.0,0,0,1,0,0
471,-25.0,2475.0,0,0,1,0,0
472,-50.0,2425.0,0,1,0,0,0
473,50.0,2475.0,0,0,1,0,0
474,50.0,2525.0,0,0,1,0,0
475,-50.0,2475.0,0,1,0,0,0
476,50.0,2525.0,0,0,1,0,0
477,-50.0,2475.0,0,1,0,0,0
478,50.0,2525.0,0,0,1,0,0
479,-25.0,2500.0,0,0,1,0,0
480,-50.0,2450.0,0,1,0,0,0
481,0.0,2450.0,0,0,0,0,1
482,-50.0,2400.0,0,1,0,0,0
483,-50.0,2350.0,0,1,0,0,0
484,-50.0,2300.0,0,0,1,0,0
485,-50.0,2250.0,0,1,0,0,0
486,-50.0,2200.0,0,1,0,0,0
487,50.0,2250.0,0,0,1,0,0
488,-50.0,2200.0,0,1,0,0,0
488,50.0,2250.0,0,0,1,0,0
488,50.0,2300.0,0,0,1,0,0
489,-50.0,2250.0,0,1,0,0,0
490,0.0,2250.0,0,0,0,0,1
491,50.0,2300.0,0,0,1,0,0
492,50.0,2350.0,0,0,1,0,0
493,-50.0,2300.0,0,1,0,0,0
494,-50.0,2250.0,0,1,0,0,0
495,75.0,2325.0,1,0,0,1,0
496,50.0,2375.0,0,0,1,0,0
497,50.0,2425.0,0,0,1,0,0
498,-50.0,2375.0,0,1,0,0,0
499,-50.0,2325.0,0,1,0,0,0
500,-50.0,2275.0,0,1,0,0,0
501,50.0,2325.0,0,0,1,0,0
502,-50.0,2275.0,0,1,0,0,0
502,50.0,2325.0,0,0,1,0,0
502,50.0,2375.0,0,0,1,0,0
503,-50.0,2325.0,0,1,0,0,0
504,-50.0,2275.0,0,1,0,0,0
505,50.0,2325.0,0,0,1,0,0
506,-50.0,2275.0,0,1,0,0,0
507,-50.0,2225.0,0,0,1,0,0
508,-50.0,2175.0,0,1,0,0,0
509,-50.0,2125.0,0,1,0,0,0
510,50.0,2175.0,0,0,1,0,0
511,50.0,2225.0,0,0,1,0,0
512,50.0,2275.0,0,0,1,0,0
513,50.0,2325.0,0,0,1,0,0
514,-50.0,2275.0,0,1,0,0,0
514,-50.0,2225.0,0,1,0,0,0
514,0.0,2225.0,0,0,0,0,1
515,50.0,2275.0,0,0,1,0,0
516,50.0,2325.0,0,0,1,0,0
517,75.0,2400.0,1,0,0,1,0
518,-50.0,2350.0,0,1,0,0,0
519,-50.0,2300.0,0,1,0,0,0
520,-50.0,2250.0,0,1,0,0,0
521,0.0,2250.0,0,0,0,0,1
522,50.0,2300.0,0,0,1,0,0
523,-50.0,2250.0,0,1,0,0,0
524,-50.0,2200.0,0,1,0,0,0
525,50.0,2250.0,0,0,1,0,0
526,-50.0,2200.0,0,1,0,0,0
527,-50.0,2150.0,0,1,0,0,0
528,50.0,2200.0,0,0,1,0,0
529,-50.0,2150.0,0,1,0,0,0
530,-25.0,2125.0,0,0,1,0,0
531,-50.0,2075.0,0,1,0,0,0
532,-50.0,2025.0,0,1,0,0,0
533,-50.0,1975.0,0,1,0,0,0
534,50.0,2025.0,0,0,1,0,0
535,0.0,2025.0,0,0,0,0,1
536,50.0,2075.0,0,0,1,0,0
537,-50.0,2025.0,0,1,0,0,0
538,-50.0,1975.0,0,1,0,0,0
539,-50.0,1925.0,0,1,0,0,0
540,0.0,1925.0,0,0,0,0,1
541,-50.0,1875.0,0,1,0,0,0
542,-50.0,1825.0,0,1,0,0,0
543,-50.0,1775.0,0,0,1,0,0
544,50.0,1825.0,0,0,1,0,0
545,-25.0,1800.0,0,0,1,0,0
546,-50.0,1750.0,0,1,0,0,0
547,0.0,1750.0,0,0,0,0,1
548,-50.0,1700.0,0,1,0,0,0
549,-50.0,1650.0,0,1,0,0,0
550,50.0,1700.0,0,0,1,0,0
551,-50.0,1650.0,0,1,0,0,0
552,-50.0,1600.0,0,1,0,0,0
553,-50.0,1550.0,0,1,0,0,0
554,50.0,1600.0,0,0,1,0,0
555,-50.0,1550.0,0,1,0,0,0
556,50.0,1600.0,0,0,1,0,0
557,-50.0,1550.0,0,0,1,0,0
558,50.0,1600.0,0,0,1,0,0
559,0.0,1600.0,0,0,0,0,1
560,50.0,1650.0,0,0,1,0,0
561,-50.0,1600.0,0,1,0,0,0
562,50.0,1650.0,0,0,1,0,0
563,-50.0,1600.0,0,0,1,0,0
564,-50.0,1550.0,0,1,0,0,0
565,-50.0,1500.0,0,1,0,0,0
566,50.0,1550.0,0,0,1,0,0
567,-50.0,1500.0,0,1,0,0,0
568,-50.0,1450.0,0,1,0,0,0
568,-50.0,1400.0,0,1,0,0,0
568,-50.0,1350.0,0,1,0,0,0
569,-50.0,1300.0,0,1,0,0,0
570,-50.0,1250.0,0,1,0,0,0
571,0.0,1250.0,0,0,0,0,1
572,-50.0,1200.0,0,0,1,0,0
573,-50.0,1150.0,0,1,0,0,0
574,-50.0,1100.0,0,1,0,0,0
575,-50.0,1050.0,0,1,0,0,0
576,-50.0,1000.0,0,1,0,0,0
577,50.0,1050.0,0,0,1,0,0
578,50.0,1100.0,0,0,1,0,0
579,0.0,1100.0,0,0,0,0,1
580,50.0,1150.0,0,0,1,0,0
581,-25.0,1125.0,0,0,1,0,0
582,-50.0,1075.0,0,1,0,0,0
583,75.0,1150.0,1,0,0,1,0
584,0.0,1150.0,0,0,0,0,1
585,50.0,1200.0,0,0,1,0,0
586,50.0,1250.0,0,0,1,0,0
587,50.0,1300.0,0,0,1,0,0
588,50.0,1350.0,0,0,1,0,0
589,0.0,1350.0,0,0,0,0,1
590,-25.0,1325.0,0,0,1,0,0
591,-50.0,1275.0,0,1,0,0,0
592,50.0,1325.0,0,0,1,0,0
593,50.0,1375.0,0,0,1,0,0
594,-25.0,1350.0,0,0,1,0,0
595,0.0,1350.0,0,0,0,0,1
596,50.0,1400.0,0,0,1,0,0
597,-50.0,1350.0,0,1,0,0,0
598,-50.0,1300.0,0,0,1,0,0
599,-25.0,1275.0,0,0,1,0,0
600,0.0,1275.0,0,0,0,0,1
601,75.0,1350.0,1,0,0,1,0
602,-50.0,1300.0,0,1,0,0,0
603,50.0,1350.0,0,0,1,0,0
604,-50.0,1300.0,0,0,1,0,0
605,50.0,1350.0,0,0,1,0,0
606,50.0,1400.0,0,0,1,0,0
607,50.0,1450.0,0,0,1,0,0
608,-50.0,1400.0,0,1,0,0,0
